# Movsim.org example data for fuel consumption modeling
# Source: Ostfalia Hochschule - Institute of Traffic Management http://www.ostfalia.de/cms/en/ifvm
# Wednesday,22,April,2009,12:32:39
# 03G 906 021 KH ,,"R4 1,9L EDC G000SG  8984",,
#,Group A:,'015,,,,Group B:,'006,,,,Group C:, Not Running,,,,,,,Gemessener,,,
#,,UPM,Drehmoment,Kraftstoffverbr,Drehmoment,,Drehzahl,Bin/Bits,Last,Bin/Bits,,,Zeitschritte,Zeit,Zeit,Weg,Geschwindigkeit,Beschleunigung,Verbrauch VAGCOM,,,
#,,UPM,Torque,Fuel Consumption,Torque,,number of rotations,Bin/Bits,Load,Bin/Bits,,,Timestep,Time,Time,Position,Speed,Acceleration,Consumption VAGCOM,,,,,,,,,,,,,,,,,,,,
#,TIME,,,,,TIME,,,,,TIME,,dt,t,t,s,v,a,bs,,v,v
#MARKER, STAMP, /min, Nm, l/h, Nm,STAMP, km/h,,%,,STAMP,,s,h,min,km,km/h,m/s2,l,,km/h,m/s
,69.29,1575,100,3.6,100,69.51,40,1000,34.5,0,,,0.45,0.02,0.94,0.64,39,0.60,0.03,,39.2,10.89
,69.73,1617,107.4,4,107.4,69.96,41,1000,35.7,0,,,0.44,0.02,0.95,0.64,40,0.59,0.03,,40.18,11.16
,70.2,1659,107.4,4,107.4,70.42,42,1000,30.2,0,,,0.47,0.02,0.96,0.65,41,0.31,0.03,,41.16,11.43
,70.65,1638,56.1,2,26.8,70.87,43,1100,0,0,,,0.45,0.02,0.97,0.65,42,-0.31,0.03,,42.14,11.71
,71.09,1407,2.4,0,0,71.32,43,1100,5.1,0,,,0.44,0.02,0.97,0.66,42,0.00,0.03,,42.14,11.71
,71.54,1302,73.2,2,112.2,71.77,42,1100,32.5,0,,,0.45,0.02,0.98,0.66,41,0.30,0.03,,41.16,11.43
,71.99,1197,122,3.4,122,72.21,43,1000,29.8,0,,,0.45,0.02,0.99,0.67,42,0.30,0.03,,42.14,11.71
,72.44,1218,112.2,3.2,109.8,72.66,43,1000,27.1,0,,,0.45,0.02,1.00,0.67,42,0.31,0.04,,42.14,11.71
,72.89,1239,102.5,2.8,100,73.11,44,1000,18.4,0,,,0.45,0.02,1.00,0.68,43,0.00,0.04,,43.12,11.98
,73.33,1218,36.6,0.8,0,73.56,44,1011,0,0,,,0.44,0.02,1.01,0.68,43,-0.30,0.04,,43.12,11.98
,73.78,1197,2.4,0,0,74.01,44,1011,0,0,,,0.45,0.02,1.02,0.69,43,-0.60,0.04,,43.12,11.98
,74.23,1197,0,0,0,74.45,43,1000,0,0,,,0.45,0.02,1.03,0.69,42,-0.30,0.04,,42.14,11.71
,74.68,1176,12.2,0.2,17.1,74.9,42,1000,18,0,,,0.45,0.02,1.03,0.70,41,0.00,0.04,,41.16,11.43
,75.13,1134,87.8,2.2,102.5,75.35,42,1000,34.5,0,,,0.45,0.02,1.04,0.70,41,0.31,0.04,,41.16,11.43
,75.57,1197,134.2,3.8,144,75.8,42,1000,41.6,0,,,0.44,0.02,1.05,0.71,41,0.60,0.04,,41.16,11.43
,76.02,1197,158.6,4.6,161,76.25,43,1000,39.6,0,,,0.45,0.02,1.06,0.71,42,0.60,0.04,,42.14,11.71
,76.47,1239,148.8,4.4,146.4,76.69,44,1000,38,0,,,0.45,0.02,1.06,0.72,43,0.30,0.04,,43.12,11.98
,76.92,1260,139.1,4,136.6,77.14,45,1000,34.5,0,,,0.45,0.02,1.07,0.73,44,0.31,0.04,,44.1,12.25
,77.37,1281,122,3.6,114.7,77.59,45,1000,26.7,0,,,0.45,0.02,1.08,0.73,44,0.31,0.04,,44.1,12.25
,77.81,1281,97.6,2.8,90.3,78.04,46,1000,19.6,0,,,0.44,0.02,1.08,0.74,45,0.30,0.04,,45.08,12.52
